cenario, mind_load, mind_save, steps
./Cenarios/exp01/exp01-cenario-10x10-001.state, null, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, 148
./Cenarios/exp01/exp01-cenario-10x10-001.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 17
./Cenarios/exp01/exp01-cenario-10x10-002.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 61
./Cenarios/exp01/exp01-cenario-10x10-003.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 16
./Cenarios/exp01/exp01-cenario-10x10-004.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 36
./Cenarios/exp01/exp01-cenario-10x10-005.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 18
./Cenarios/exp01/exp01-cenario-10x10-006.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 106
./Cenarios/exp01/exp01-cenario-10x10-007.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 15
./Cenarios/exp01/exp01-cenario-10x10-008.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 22
./Cenarios/exp01/exp01-cenario-10x10-009.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 30
./Cenarios/exp01/exp01-cenario-10x10-010.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 118
./Cenarios/exp01/exp01-cenario-10x10-011.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 13
./Cenarios/exp01/exp01-cenario-10x10-012.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 46
./Cenarios/exp01/exp01-cenario-10x10-013.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 69
./Cenarios/exp01/exp01-cenario-10x10-014.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 47
./Cenarios/exp01/exp01-cenario-10x10-015.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 37
./Cenarios/exp01/exp01-cenario-10x10-016.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 62
./Cenarios/exp01/exp01-cenario-10x10-017.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 137
./Cenarios/exp01/exp01-cenario-10x10-018.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 15
./Cenarios/exp01/exp01-cenario-10x10-019.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 104
./Cenarios/exp01/exp01-cenario-10x10-020.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 25
./Cenarios/exp01/exp01-cenario-10x10-021.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 15
./Cenarios/exp01/exp01-cenario-10x10-022.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 47
./Cenarios/exp01/exp01-cenario-10x10-023.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 41
./Cenarios/exp01/exp01-cenario-10x10-024.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 37
./Cenarios/exp01/exp01-cenario-10x10-025.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 40
./Cenarios/exp01/exp01-cenario-10x10-026.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 23
./Cenarios/exp01/exp01-cenario-10x10-027.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 25
./Cenarios/exp01/exp01-cenario-10x10-028.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 27
./Cenarios/exp01/exp01-cenario-10x10-029.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 61
./Cenarios/exp01/exp01-cenario-10x10-030.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 56
./Cenarios/exp01/exp01-cenario-10x10-031.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 18
./Cenarios/exp01/exp01-cenario-10x10-032.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 32
./Cenarios/exp01/exp01-cenario-10x10-033.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 18
./Cenarios/exp01/exp01-cenario-10x10-034.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 20
./Cenarios/exp01/exp01-cenario-10x10-035.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 40
./Cenarios/exp01/exp01-cenario-10x10-036.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 101
./Cenarios/exp01/exp01-cenario-10x10-037.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 40
./Cenarios/exp01/exp01-cenario-10x10-038.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 54
./Cenarios/exp01/exp01-cenario-10x10-039.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 24
./Cenarios/exp01/exp01-cenario-10x10-040.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 30
./Cenarios/exp01/exp01-cenario-10x10-041.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 52
./Cenarios/exp01/exp01-cenario-10x10-042.state, trainned_minds/exp01-cenario-10x10-001.state.trainned.mind, NULL_SAVE, 80
